质量等级,AQI指数,PM2.5,PM10,So2,No2,Co,O3
轻度污染,111,83,93,9,87,1.03,23
良,81,60,63,7,41,0.84,58
优,27,14,27,7,33,0.59,53
优,50,34,46,8,53,0.71,46
良,55,36,47,7,62,0.68,31
轻度污染,103,77,91,9,68,0.9,44
轻度污染,130,98,131,10,71,1.13,49
良,77,49,98,8,45,0.68,77
良,85,60,97,8,46,0.81,72
优,34,11,34,6,26,0.45,63
优,39,19,39,6,44,0.57,44
优,28,18,25,6,30,0.55,46
优,28,18,17,5,41,0.77,11
优,21,12,14,5,17,0.66,46
优,31,20,29,5,16,0.72,49
优,48,29,49,8,22,0.88,51
良,59,41,54,8,27,0.93,56
良,72,51,77,9,37,0.93,53
良,75,50,98,8,48,0.94,48
良,88,50,123,7,29,0.84,61
良,61,18,72,6,15,0.53,72
优,22,14,15,6,17,0.57,53
优,30,17,29,5,13,0.68,66
优,45,26,44,6,8,0.71,66
优,29,12,27,6,11,0.7,64
良,55,39,48,7,22,0.82,56
良,58,33,67,8,14,0.87,63
良,56,32,62,9,30,0.9,54
良,59,38,66,8,38,0.79,58
良,65,47,70,9,50,0.85,60
良,54,38,52,8,38,0.7,80
良,67,44,68,8,52,0.77,58
优,46,12,49,6,18,0.54,61
良,51,13,53,6,22,0.63,54
优,32,16,32,6,30,0.56,56
优,48,33,46,6,31,0.65,68
优,33,22,21,5,35,0.63,54
优,33,22,29,6,25,0.6,75
良,60,41,53,6,27,0.7,78
优,34,20,31,5,32,0.68,67
优,28,18,21,5,27,0.68,68
优,24,14,18,5,29,0.62,66
优,28,17,17,5,34,0.72,44
优,45,27,36,5,19,0.78,74
优,36,20,36,6,19,0.59,65
优,41,24,41,6,27,0.63,62
优,44,25,45,6,37,0.67,60
优,44,27,45,7,44,0.61,54
良,72,52,76,8,67,0.88,34
轻度污染,115,86,90,7,37,1.05,53
良,60,39,64,7,34,0.75,73
优,34,13,34,6,19,0.55,70
优,30,11,30,6,24,0.57,64
优,24,14,23,6,31,0.6,52
良,55,39,45,6,31,0.78,65
良,56,34,50,6,22,0.73,74
优,36,20,36,6,26,0.59,70
优,37,22,35,6,32,0.56,73
优,42,24,43,7,42,0.62,69
良,90,67,73,8,57,0.88,63
良,90,67,73,8,57,0.88,63
良,69,43,64,8,35,0.69,75
优,37,14,37,6,39,0.5,60
优,49,26,51,6,47,0.53,60
优,48,28,48,6,39,0.53,73
良,62,39,73,8,51,0.62,81
良,64,36,77,9,47,0.64,91
良,64,40,76,8,54,0.73,68
良,98,72,104,8,53,0.91,81
轻度污染,104,70,103,8,55,0.78,97
良,55,29,61,7,32,0.6,100
良,62,29,69,6,25,0.67,69
良,51,14,53,6,25,0.58,74
优,50,15,53,7,28,0.61,86
良,51,27,61,8,33,0.69,91
良,66,16,82,6,17,0.54,86
优,28,9,21,5,22,0.6,70
优,38,21,37,5,27,0.7,63
优,43,20,45,6,28,0.61,75
优,47,30,44,6,30,0.65,81
优,27,17,18,6,50,0.68,30
优,48,34,39,6,59,0.8,11
良,98,33,121,6,33,0.9,47
良,83,26,116,6,22,0.6,72
优,49,17,50,6,29,0.68,60
良,61,26,74,7,23,0.65,83
良,78,37,107,8,43,0.71,73
良,66,38,83,8,40,0.63,88
良,58,29,65,7,40,0.64,86
良,70,51,68,6,35,0.74,96
优,45,27,46,7,33,0.62,79
良,54,33,56,8,50,0.63,64
良,53,31,55,7,46,0.61,87
优,49,24,51,6,21,0.53,102
优,29,14,25,6,18,0.56,80
优,48,33,33,5,22,0.83,57
良,65,47,49,6,33,0.9,58
良,84,62,75,6,33,0.9,74
良,56,29,62,7,33,0.63,91
优,47,22,48,7,32,0.51,110
优,48,21,49,8,28,0.57,111
轻度污染,123,38,167,7,32,0.71,86
轻度污染,138,45,227,6,30,0.54,73
良,76,46,100,7,44,0.86,59
良,57,34,67,6,29,0.73,90
良,66,33,85,7,23,0.7,115
良,62,29,73,6,21,0.68,123
良,66,32,82,8,37,0.81,105
优,34,19,32,6,23,0.63,76
优,37,17,36,6,22,0.58,81
良,53,20,62,6,16,0.55,91
良,85,25,120,6,18,0.53,90
良,83,26,116,6,16,0.55,89
优,39,14,38,6,15,0.59,92
优,44,23,46,7,31,0.77,73
良,70,50,70,8,29,0.87,87
良,68,46,64,7,23,0.65,121
良,56,37,57,7,30,0.73,109
良,80,48,88,7,36,0.8,57
良,79,33,108,8,35,0.64,95
良,70,32,82,9,32,0.58,123
良,52,17,56,7,15,0.49,132
优,40,18,40,7,16,0.54,86
优,27,17,27,7,20,0.59,57
优,31,20,27,6,26,0.75,52
优,43,28,36,6,23,0.78,57
优,26,13,19,6,17,0.53,78
优,35,21,33,6,17,0.48,100
优,43,23,40,7,34,0.46,92
优,39,19,36,7,30,0.44,100
优,48,26,51,8,51,0.56,82
良,95,70,95,9,53,0.7,114
轻度污染,109,69,83,8,41,0.75,158
良,96,59,86,9,38,0.79,145
良,82,46,79,9,39,0.68,129
优,49,20,49,8,23,0.55,118
优,29,11,20,6,14,0.52,91
优,39,23,26,6,23,0.65,65
优,27,11,16,6,22,0.56,84
优,34,21,29,6,21,0.48,96
优,39,27,38,6,21,0.53,89
良,72,34,97,6,22,0.54,74
良,78,37,105,8,35,0.65,83
良,61,29,73,8,40,0.61,91
良,56,31,59,7,22,0.53,109
良,53,24,55,7,26,0.56,79
优,35,17,35,6,16,0.5,67
优,36,16,35,7,17,0.5,84
优,47,19,37,8,24,0.56,86
优,40,27,35,7,28,0.55,50
优,28,18,26,6,26,0.52,56
优,29,20,28,7,27,0.6,58
良,62,31,52,8,27,0.74,123
优,49,29,46,7,19,0.52,114
优,38,19,36,7,22,0.47,111
优,43,25,41,6,25,0.65,82
优,43,28,31,6,25,0.72,85
优,47,33,37,7,27,0.65,85
良,58,34,36,7,29,0.7,105
良,70,36,42,8,28,0.75,118
良,51,23,36,8,21,0.59,123
优,40,25,32,7,24,0.56,86
优,22,9,15,6,18,0.42,69
优,18,10,17,6,18,0.46,47
优,42,25,36,6,24,0.57,87
良,65,41,52,8,34,0.79,107
良,60,39,45,7,25,0.63,120
优,33,11,13,6,16,0.51,103
优,22,13,15,6,31,0.6,42
优,21,13,15,6,29,0.63,45
优,41,27,33,6,25,0.8,88
良,85,48,55,7,31,0.83,129
良,81,56,63,7,30,0.78,129
良,70,44,51,7,22,0.68,108
优,30,7,8,5,14,0.54,96
优,23,14,18,5,21,0.61,56
优,32,19,32,6,25,0.59,54
优,33,18,32,6,25,0.56,56
优,41,21,34,6,19,0.54,89
优,43,22,40,6,22,0.57,91
优,33,18,30,6,23,0.63,62
优,37,20,29,5,17,0.65,106
良,51,33,39,6,23,0.64,102
优,43,28,41,6,29,0.66,88
优,41,25,35,6,23,0.62,90
优,36,20,31,6,21,0.74,95
良,56,38,45,6,26,0.72,99
优,37,23,36,6,27,0.66,81
优,35,24,33,6,32,0.7,51
优,49,34,45,6,30,0.68,73
优,34,20,31,6,34,0.64,56
良,56,27,41,6,21,0.65,112
良,61,29,46,6,20,0.65,123
优,50,26,44,6,21,0.57,109
良,55,25,42,6,19,0.58,114
优,44,20,34,6,20,0.58,94
优,20,11,19,6,20,0.58,45
优,17,6,17,5,10,0.41,36
优,18,8,16,6,15,0.52,39
优,18,7,18,6,19,0.45,39
优,23,12,20,5,25,0.53,37
优,28,16,23,5,23,0.58,66
优,25,15,22,5,20,0.55,60
优,26,14,24,6,16,0.53,67
优,34,20,33,6,21,0.6,64
优,20,7,17,6,13,0.46,48
优,22,6,22,6,10,0.43,36
优,17,5,17,5,11,0.4,24
优,20,5,20,5,9,0.4,25
优,19,6,19,5,8,0.42,22
优,18,6,18,5,11,0.4,29
优,23,12,23,6,12,0.4,33
优,19,9,19,6,11,0.44,33
优,24,11,24,6,10,0.46,42
优,31,11,31,6,9,0.41,34
优,27,11,27,6,10,0.44,35
优,27,13,27,6,12,0.5,38
优,32,17,31,7,19,0.58,53
优,28,14,27,6,17,0.55,53
优,32,16,31,6,14,0.68,87
优,33,17,33,6,15,0.65,79
优,50,24,42,6,16,0.69,113
良,77,36,62,7,20,0.77,146
良,61,30,43,6,16,0.65,135
优,31,14,27,6,13,0.5,86
优,27,11,24,6,13,0.51,73
优,27,14,26,6,15,0.53,57
优,38,18,38,6,22,0.57,66
优,37,21,32,6,26,0.7,79
优,33,18,29,6,29,0.68,67
优,34,19,30,6,15,0.6,74
优,26,14,25,6,13,0.56,60
优,36,15,28,6,15,0.57,102
优,48,24,38,6,21,0.73,103
优,40,24,28,7,23,0.81,82
优,42,19,35,7,25,0.7,107
优,38,17,32,7,18,0.62,105
优,34,14,31,6,18,0.58,94
优,21,9,19,6,13,0.52,59
优,19,8,17,6,17,0.6,47
优,22,11,16,6,26,0.79,55
优,24,8,10,6,22,0.61,75
优,37,21,22,6,28,0.7,63
优,27,10,18,7,19,0.55,83
优,38,16,35,6,13,0.59,115
优,30,17,30,6,18,0.6,79
优,21,11,21,7,20,0.55,24
优,26,14,26,7,18,0.5,41
优,25,14,25,7,15,0.51,45
优,38,22,37,6,17,0.63,84
优,34,17,27,6,19,0.6,87
优,33,14,28,7,23,0.6,93
优,37,13,30,7,20,0.58,106
优,36,14,34,7,21,0.61,89
优,26,12,26,6,20,0.56,70
优,26,12,24,6,21,0.57,70
优,21,11,20,6,27,0.6,53
优,25,15,22,6,40,0.66,35
优,32,21,26,6,40,0.85,30
良,59,36,47,7,34,1.03,97
良,57,33,35,7,19,0.79,132
优,30,16,22,7,18,0.59,80
优,25,10,22,6,19,0.6,62
优,25,10,23,6,25,0.58,70
优,20,9,18,6,29,0.58,60
优,22,8,13,6,30,0.58,61
优,24,10,19,6,29,0.6,55
优,45,23,47,7,43,0.8,51
良,54,38,48,7,33,0.91,71
良,53,37,43,6,27,0.82,88
良,51,35,41,7,26,0.83,80
良,51,36,41,6,20,0.8,107
优,49,32,29,6,20,0.98,80
优,29,13,23,6,18,0.6,90
优,27,7,24,6,18,0.49,80
优,27,8,24,6,20,0.52,83
优,28,9,22,6,17,0.54,89
优,39,12,39,6,17,0.54,80
优,28,7,28,6,15,0.5,75
优,26,8,25,5,17,0.52,76
优,25,9,18,6,20,0.6,75
优,37,21,38,6,32,0.7,68
良,51,33,49,6,30,0.73,89
优,35,18,30,6,28,0.63,80
优,33,17,30,6,33,0.62,71
优,29,15,21,5,29,0.64,75
良,69,49,56,7,50,0.93,62
良,80,59,75,7,53,0.91,71
良,87,64,86,8,57,1.1,76
良,66,47,60,7,47,0.8,82
良,54,32,47,7,31,0.68,112
良,71,46,71,8,46,0.83,108
优,31,18,23,6,29,0.65,70
优,39,18,38,7,29,0.6,88
优,34,12,30,6,22,0.6,92
优,48,24,50,7,34,0.65,80
优,30,17,28,6,27,0.58,42
优,23,9,21,6,15,0.56,62
优,34,19,34,7,22,0.71,52
良,53,23,56,8,38,0.68,49
优,48,23,50,7,38,0.61,59
良,57,35,59,8,50,0.79,32
优,29,18,22,6,17,0.6,69
优,28,9,28,6,17,0.5,65
优,38,24,35,6,23,0.65,53
优,32,20,31,7,30,0.65,46
良,51,31,55,8,52,0.8,35
良,98,73,103,10,73,1.12,48
良,94,68,87,7,52,0.93,49
良,90,29,129,8,37,0.65,43
良,52,23,57,9,46,0.78,34
良,64,40,79,8,68,0.84,33
良,88,65,112,10,80,1.08,47
良,66,46,72,8,60,0.78,73
良,56,38,59,7,59,0.74,69
轻度污染,118,88,132,11,69,1.13,60
优,33,13,33,7,26,0.64,57
优,28,10,28,6,34,0.55,47
优,40,18,44,6,42,0.58,41
良,82,58,95,8,54,0.91,44
良,90,66,118,9,53,0.95,51
良,71,48,89,8,41,0.8,80
优,37,18,37,7,26,0.64,55
优,49,27,51,10,37,0.72,44
良,55,33,60,9,60,0.83,30
良,75,55,91,10,72,1.06,33
良,91,67,98,8,76,0.99,26
轻度污染,104,78,105,8,75,1.06,24
良,98,69,126,9,67,1,31
轻度污染,104,60,158,9,66,0.96,44
良,70,37,89,8,57,0.78,61
良,70,43,91,9,77,0.85,37
良,55,34,61,7,60,0.73,17
优,27,19,22,5,30,0.72,28
良,51,36,46,5,32,0.81,33
良,54,37,57,6,45,0.77,29
优,50,34,50,7,49,0.81,43
优,45,31,39,6,44,1.18,8
优,48,33,42,6,22,0.86,46
优,31,19,30,8,23,0.75,53
优,23,12,21,6,31,0.64,45
优,27,17,23,6,35,0.73,35
良,61,41,64,7,31,0.82,50
优,41,23,41,9,26,0.77,54
优,44,25,44,9,36,0.84,39
良,57,37,64,9,62,0.87,17
良,80,59,103,11,66,1.05,25
轻度污染,104,78,128,12,74,1.21,25
轻度污染,109,82,125,10,74,0.96,29
良,73,53,70,7,64,0.73,28
良,85,62,84,8,79,0.9,18
良,69,49,62,6,48,0.66,39
轻度污染,112,83,97,6,60,0.88,28
